id,title,author
nodeac66770feb8c65b849bd65cba39f5_<http://www.boomerangbooks.com.au/Darkest-Mercy/Melissa-Marr/book_9780061659256.htm>,Darkest Mercy,http://www.boomerangbooks.com.au/Darkest-Mercy/Melissa-Marr/book_9780061659256.htm/#
node1adf19d752a5f91eb6eb5afeab261e6_<https://www.kirkusreviews.com/book-reviews/melissa-marr/darkest-mercy/>,DARKEST MERCY,Melissa Marr
node1caf66fafe45bda7b6a9ba51ffe94a_<http://www.harpercollins.com/books/9780061659270>,Darkest Mercy,by Melissa Marr
node3d8d2bc2ced0685dfc97bb41c0db63_<http://www.harpercollins.com/books/9780061659270>,Darkest Mercy,by Melissa Marr
node772f881b5d6892e63b5d16275724bbe3_<http://www.bookdepository.com/author/Melissa-Marr>,Darkest Mercy,Melissa Marr
nodebc752f7c652f8c83d19deb7239d2ded_<http://www.bookdepository.com/author/Melissa-Marr>,Darkest Mercy,Melissa Marr
node3abb914269619b4577e7fc7f22baf3_<http://www.harpercollins.com/books/9780062078377>,Darkest Mercy,by Melissa Marr
node51e53a6277a4f0d4926191cf515368a5_<http://www.harpercollins.com/books/9780062062000>,Darkest Mercy,by Melissa Marr
node70fea73f1ceeab1287d9ecd74026ef55_<http://www.harpercollins.com/books/9780061750496>,The Program,by Gregg Hurwitz
node536bfb390a727875338cf556d3b6f79_<http://www.bookdepository.com/author/David-Walsh>,The Program,David Walsh
node1bbbe1d431dc1cd649bc5e62cc286f9_<https://www.kirkusreviews.com/book-reviews/gregg-hurwitz/the-program-2/>,THE PROGRAM,Gregg Hurwitz
node3920b3623f38e6a5f5af1e9d20b5bf_<http://www.harpercollins.com/books/9780060530419>,The Program,by Gregg Hurwitz
nodec1824fc23f8ab47370124bb479222c_<http://www.harpercollins.com/books/9780060530419>,The Program,by Gregg Hurwitz
nodec9fe9b47e9479113510ad4f726d64_<https://itunes.apple.com/us/book/id449868241?ign-mpt=uo%3D4>,The Program,Suzanne Young
nodefd2a6482fb9ff03031bf224d25f43c9_<http://www.alibris.com/booksearch?qwork=5403281&qcond=6&matches=34&qsort=p&cm_sp=1rec-_-RHS-_-p1-0>,The Program,http://www.alibris.com/booksearch?qwork=5403281&qcond=6&matches=34&qsort=p&cm_sp=1rec-_-RHS-_-p1-0//search/books/author/Stephen-Walsh-White?aid=5408548
nodea4e19fdaf57572b38e8b27596b0fc9d_<https://www.kirkusreviews.com/book-reviews/suzanne-young/program/>,THE PROGRAM,Suzanne Young
node1484a6ca5885e522cebfe2939eda7_<http://www.harpercollins.com/books/9780060786427>,The Program,by Gregg Hurwitz
nodef550956fa16b41d49967e0496e924f_<http://www.abebooks.com/products/isbn/9780316926348/9061569694>,Brideshead Revisited,"Waugh, Evelyn"
nodea8724a8cdd23428bfc2e1fa8fca48ac_<http://bookoutlet.com/Store/Browse/_/N-954>,Brideshead Revisited,"Waugh, Evelyn"
nodebfe1657bdd557c9d88c9e0f388935ce2_<https://www.kirkusreviews.com/book-reviews/evelyn-waugh/brideshead-revisited/>,BRIDESHEAD REVISITED,Evelyn Waugh
nodeb7138d509b2646c2f7e81dcbcdc1136_<http://www.bookfinder.com/book/0316926345/>,Brideshead Revisited,"Waugh, Evelyn"
noded4cfe1f7f87c951447836b669aa6c_<http://www.bookdepository.com/Brideshead-Revisited-Evelyn-Waugh/9780316041560>,Brideshead Revisited,http://www.bookdepository.com/author/Evelyn-Waugh Evelyn Waugh
node5feb2df25dc569e4c23cd4c5d3e8ad1_<http://www.abebooks.com/products/isbn/9781602834866/9542435704>,Brideshead Revisited,Evelyn Waugh
nodeb39b79c1545b04040b3a2da9738ae_<https://www.bookshare.org/browse/book/588849?returnPath=L2Jyb3dzZS9hdXRob3I%252FbW9kdWxlTmFtZT1wdWJsaWMma2V5PUV2ZWx5biBXYXVnaCZyZXN1bHRzVmlldz1UQUJMRQ%253D%253D>,Brideshead Revisited,Evelyn Waugh
node211bb585dd8ea140e6294f03eb428de_<http://brothersjudd.com/index.cfm/fuseaction/reviews.detail/book_id/948>,Brideshead Revisited,http://brothersjudd.com/index.cfm/fuseaction/reviews.detail/book_id/948/index.cfm/fuseaction/reviews.authlist/author_id/784
node177b22fd5add714c655c3be1523af_<http://www.bookdepository.com/Decline-Fall-No-2-Evelyn-Waugh/9780141193427?b=-3&t=-20>,Brideshead Revisited,Evelyn Waugh
nodeed789da1d17eab6c27ea0968899db_<http://isbndb.com/author/nigel_havers>,Brideshead Revisited,http://isbndb.com/author/waugh_evelyn http://isbndb.com/author/nigel_havers
node45704e9fb82749b96d9148b84db967e_<http://www.powells.com/book/brideshead-revisited-9780316216456>,Brideshead Revisited,Evelyn Waugh
node911acd9ade8be1a935a6597617d2dc35_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node9dd5751f83e8346438d35277e5c2f847_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node4f6c87f7e4462dce8a5228df496ecee_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
nodec6a4ae6c807228afd4f3d6f3a716ee_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node83b0248442c0c83ca86b9e2c7ba336_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node123dad2e4d8ee47dd6c0dfe1d824977a_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node9251edbefb2c45d56835e4728a7084d8_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,Evelyn Waugh
node2d7ea05242fdd99bcf129def24324e2e_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
nodebf35edc3dcbdfbb5454dfa508e1c218_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,Evelyn Waugh
nodefad0a67aca50a746932096572b4cd13_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node28b94d989916b8854d367c79a80d443_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
nodec0a2ee7cc91ebaa87227eba63345221f_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,Evelyn Waugh
nodec0c049ff83bc5d99603e7c2c852afa_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node354ed31aeddc518ec73df1c1474f1596_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node6c6e15d46c9eb31527848e92985dc2be_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
nodeb65e33f46cd5a4789790b790bc13c375_<http://www.abebooks.com/book-search/title/brideshead-revisited/author/waugh/page-1/>,Brideshead Revisited,"Waugh, Evelyn"
node91993ed5bbea48be2d9655a6316aac_<http://www.brothersjudd.com/index.cfm/fuseaction/reviews.detail/book_id/948/Brideshead%20R.htm>,Brideshead Revisited,http://www.brothersjudd.com/index.cfm/fuseaction/reviews.detail/book_id/948/Brideshead%20R.htm/index.cfm/fuseaction/reviews.authlist/author_id/784
nodeed9686aaf493305c0f199ca2bfc1fa5_<http://modernmrsdarcy.com/2013/04/7-books-i-read-over-and-over-again/>,Brideshead Revisited,http://modernmrsdarcy.com/authors/evelyn-waugh/
node7e5f781d11838d41213574468e0a1de_<http://brothersjudd.com/index.cfm/fuseaction/reviews.detail/book_id/948/Brideshead%20R.htm>,Brideshead Revisited,http://brothersjudd.com/index.cfm/fuseaction/reviews.detail/book_id/948/Brideshead%20R.htm/index.cfm/fuseaction/reviews.authlist/author_id/784
node9c5987fa4e659623a165db9d93216d5_<http://www.anobii.com/books/Abhorsen/9788842913030/01af8afeee3dd4b36e>,Abhorsen,http://www.anobii.com/books/Abhorsen/9788842913030/01af8afeee3dd4b36e//contributors/Garth_Nix/345935
node1baac97ef49c5be303ca6952bfd6699_<https://www.bookshare.org/browse/book/359914?returnPath=L2Jyb3dzZS9hdXRob3I%2FbW9kdWxlTmFtZT1wdWJsaWMma2V5PUdhcnRoIE5peA%3D%3D>,Abhorsen,Garth Nix
nodefef38d1eef4a5eec5b793d996d14765_<http://www.anobii.com/books/Abhorsen/9788850212545/016cfaf2c03e1a86f2>,Abhorsen,http://www.anobii.com/books/Abhorsen/9788850212545/016cfaf2c03e1a86f2//contributors/Garth_Nix/345935
node392c6c55158fea123a64c44d7c0798_<http://www.bookdepository.com/category/307/Childrens-Literature-Studies-General/>,Abhorsen,Garth Nix
node179d862bedb7ed8dc36889179f4f4c7_<https://www.kirkusreviews.com/book-reviews/garth-nix/abhorsen/>,ABHORSEN,Garth Nix
nodebd46d5b86ee4bd52b864f5a9ada5364_<http://www.bookdepository.com/author/Garth-Nix>,Abhorsen,Garth Nix
node6bab5bd99a84bcb329f69e4cd3358196_<http://www.powells.com/book/abhorsen-03-abhorsen-9780060278250>,Abhorsen 03 Abhorsen,Garth Nix
node33e45fb78bdbb172f039c710e720b94e_<https://www.bookshare.org/browse/book/24241?returnPath=L2Jyb3dzZS9ncmFkZT9tb2R1bGVOYW1lPXB1YmxpYyZvZmZzZXQ9MjUmZ3JhZGU9RUxFVkVOVEhfR1JBREU%253D>,The Abhorsen Trilogy,Garth Nix
nodeef89c8664db15774e8dacdbe745c161f_<https://www.bookshare.org/browse/book/24241?returnPath=L2Jyb3dzZS9jYXRlZ29yeT9tb2R1bGVOYW1lPXB1YmxpYyZrZXk9U2NpZW5jZSBGaWN0aW9uIGFuZCBGYW50YXN5Jm9mZnNldD0yNQ%3D%3D>,The Abhorsen Trilogy,Garth Nix
nodef484524c87cc4ab7efcf123165bfb8e8_<http://www.bookdepository.com/author/Garth-Nix>,The Abhorsen Chronicles,Garth Nix
nodef72bc4ac76837f22e19750c18a9159a1_<http://www.harpercollins.com/books/9780061441820>,The Abhorsen Chronicles,by Garth Nix
node1e30c1dc33d44c757e5f7c3bafa01ea7_<http://www.powells.com/book/sabriel-abhorsen-trilogy-9780606354998>,Sabriel (Abhorsen Trilogy),Garth Nix
node3d2513a2953fa413ba12a4cbb098f7_<http://www.harpercollins.com/books/9780060734190>,The Abhorsen Trilogy Box Set,by Garth Nix
